,reference_number,timestamp,price
0,15510ST.OO.1320ST.01,2023-07-04,6341500
1,15510ST.OO.1320ST.02,2023-07-04,5055800
2,15510ST.OO.1320ST.03,2023-07-04,4739400
3,15510ST.OO.1320ST.04,2023-07-04,6031100
4,15510ST.OO.1320ST.05,2023-07-04,5093900
5,15510ST.OO.1320ST.06,2023-07-04,5650100
6,15510ST.OO.1320ST.07,2023-07-04,4733800
7,15510ST.OO.1320ST.08,2023-07-04,4367700
8,15510ST.OO.1320ST.09,2023-07-04,5539600
9,15510ST.OO.1320ST.10,2023-07-04,4438400
10,16202ST.OO.1240ST.01,2023-07-04,8238900
11,15202ST.OO.1240ST.01,2023-07-04,7567300
12,15202ST.OO.0944ST.01,2023-07-04,6578500
13,15202ST.OO.0944ST.02,2023-07-04,7503100
14,15202ST.OO.0944ST.03,2023-07-04,7345300
15,15500ST.OO.1220ST.01,2023-07-04,5831200
16,15500ST.OO.1220ST.02,2023-07-04,4284000
17,15500ST.OO.1220ST.03,2023-07-04,4331300
18,15500ST.OO.1220ST.04,2023-07-04,3982400
19,26331ST.OO.1220ST.01,2023-07-04,5958700
20,26331ST.OO.1220ST.02,2023-07-04,5436100
21,26331ST.OO.1220ST.03,2023-07-04,4959800
22,26240ST.OO.1320ST.01,2023-07-04,6723300
23,26240ST.OO.1320ST.02,2023-07-04,5623200
24,26240ST.OO.1320ST.03,2023-07-04,6284200
25,5711/1A-010,2023-07-04,9970900
26,5711/1A-011,2023-07-04,9261600
27,5712/1A-001,2023-07-04,11472400
28,5712R-001,2023-07-04,12727900
29,5712/1R-001,2023-07-04,20757100
30,5712G-001,2023-07-04,9840100
31,5811/1G-001,2023-07-04,15360300
32,5980/1A-001,2023-07-04,13621300
33,5980/1R-001,2023-07-04,23130400
34,5980R-001,2023-07-04,13658700
35,5990/1A-001,2023-07-04,13427200
36,5990/1R-001,2023-07-04,28703100
37,5740/1G-001,2023-07-04,23444800
38,5726/1A-001,2023-07-04,10168300
39,5726/1A-010,2023-07-04,11171400
40,5726/1A-014,2023-07-04,13199700
41,5167/1A-001,2023-07-04,6723700
42,5167A-001,2023-07-04,6988900
43,5168G-001,2023-07-04,8611500
44,5168G-010,2023-07-04,9029600
45,5167R-001,2023-07-04,8788300
46,5164A-001,2023-07-04,8412000
47,5968A-001,2023-07-04,13550500
48,5968G-001,2023-07-04,12677000
49,5968G-010,2023-07-04,13224900
50,116500LN-0001,2023-07-04,3303800
51,116500LN-0002,2023-07-04,2941500
52,116503-0001,2023-07-04,2492300
53,116503-0004,2023-07-04,2494000
54,116505-0013,2023-07-04,5583600
55,116505-0008,2023-07-04,5158700
56,116515LN-0041,2023-07-04,4473700
57,116506-0001,2023-07-04,11062100
58,116506-0002,2023-07-04,13360600
59,116508-0013,2023-07-04,8578600
60,116508-0004,2023-07-04,5276000
61,116518LN-0048,2023-07-04,5448100
62,116509-0071,2023-07-04,5014900
63,116509-0072,2023-07-04,4919600
64,116519LN-0027,2023-07-04,4537500
65,126710BLRO-0002,2023-07-04,2073500
66,126710BLRO-0001,2023-07-04,2294600
67,126710BLNR-0003,2023-07-04,1746400
68,126710BLNR-0002,2023-07-04,1822900
69,126720VTNR-0001,2023-07-04,2122500
70,126720VTNR-0002,2023-07-04,2407700
71,126610LN-0001,2023-07-04,1532400
72,126610LV-0002,2023-07-04,1730400
73,124060-0001,2023-07-04,1293600
74,126613LN-0002,2023-07-04,1835800
75,126613LB,2023-07-04,1801500
76,126618LN-0002,2023-07-04,4231500
77,126619LB-0003,2023-07-04,4014000
78,126900-0001,2023-07-04,997100
79,124270-0001,2023-07-04,865100
80,226570-0001,2023-07-04,1243700
81,226570-0002,2023-07-04,1187500
82,126622-0001,2023-07-04,1647800
83,126622-0002,2023-07-04,1523500
84,126600-0001,2023-07-04,1483800
85,116400GV-0001,2023-07-04,1178600
86,136660-0003,2023-07-04,1681200
87,136660-0004,2023-07-04,1513000
88,126334-0001,2023-07-04,1289500
89,126334-0002,2023-07-04,1435600
90,126334-0017,2023-07-04,1164500
91,126334-0018,2023-07-04,1406600
92,126334-0003,2023-07-04,1209900
93,126334-0004,2023-07-04,1378400
94,126334-0027,2023-07-04,1388200
95,126334-0028,2023-07-04,1523200
96,126334-0021,2023-07-04,1369200
97,126334-0022,2023-07-04,1457600
98,126711CHNR-0002,2023-07-04,2110500
99,126715CHNR-0001,2023-07-04,4244600
